CPU Description,Total Memory (GB),ssj_ops @ 100%,Avg Watts @ 100%,Avg Watts @ Active Idle,Result (Overall ssj_ops/watt)
Intel Xeon 6787P 2.0 GHz (Intel Turbo Boost Technology up to 3.80 GHz),512,12828833,520,90.0,21089
Intel Xeon 6780E 2.20 GHz,512,9675313,392,79.4,20149
Intel Xeon 6787P 2.0 GHz (Intel Turbo Boost Technology up to 3.80 GHz),512,24658201,960,164.0,21232
Intel Xeon 6787P 2.0 GHz (Intel Turbo Boost Technology up to 3.80 GHz),256,22815824,943,157.0,21029
Intel Xeon 6787P Processor 2.0 GHz,256,22184000,891,227.0,22312
Intel Xeon 6787P 2.0 GHz (Intel Turbo Boost Technology up to 3.10 GHz),256,22336672,924,220.0,22121
Intel Xeon 6787P Processor 2.0 GHz,256,23060637,941,205.0,23276
Intel Xeon 6787P Processor 2.0 GHz,256,16169742,833,228.0,17085
Intel Xeon 6787P 2.00 GHz,128,11443968,491,123.0,20454
Intel Xeon 6787P 2.00 GHz,128,11942326,557,195.0,17517
Intel Xeon 6780E 2.2 GHz,256,15644864,581,196.0,21837
Intel Xeon 6780E 2.2 GHz,256,17398371,801,220.0,19521
Intel Xeon 6787P Processor 2.0 GHz,256,20149731,937,255.0,18745
Intel Xeon 6780E 2.2 GHz,256,17149565,807,221.0,19190
Intel Xeon 6780E 2.2 GHz,128,7778821,373,188.0,14571
Intel Xeon 6780E 2.2 GHz,128,8810324,441,114.0,17870
Intel Xeon 6780E 2.2 GHz,512,18215782,656,184.0,24301
Intel Xeon 6780E 2.2 GHz,512,18367121,665,186.0,24133
Intel Xeon 6780E,512,19457068,657,200.0,24246
Intel Xeon 6787P 2.0 GHz,512,22639023,782,218.0,25374
AMD EPYC 9845,1536,76523445,1557,267.0,38805
Intel Xeon Platinum 8490H,4096,66764174,4087,1200.0,13941
AMD EPYC 9845,1536,78267668,1566,280.0,39083
Intel Xeon 6787P 2.0 GHz,512,18399198,651,173.0,21718
Intel Xeon 6980P 2.00 GHz,384,13964348,587,132.0,20102
"Intel Xeon 6980P, 2.00GHz",768,27908421,1260,314.0,18316
"Intel(R) Xeon(R) 6787P, 2.00GHz",512,12333987,655,115.0,14329
"Intel(R) Xeon(R) 6787P, 2.00GHz",1024,24054493,1157,214.0,15802
Intel Xeon Platinum 8592+,512,17801687,827,160.0,20494
