server_id,model_name,cpu_description,max_watts,idle_watts,efficiency_ssj_per_watt,num_assigned_tasks,avg_latency,total_reward
1,Server_1,Intel Xeon 6787P 2.0 GHz (Intel Turbo Boost Technology up to 3.80 GHz),520.0,90.0,21089.0,35,37.17581616878425,103.56327559418065
2,Server_2,Intel Xeon 6780E 2.20 GHz,392.0,79.4,20149.0,35,42.5393113668286,91.77231255070105
3,Server_3,Intel Xeon 6787P 2.0 GHz (Intel Turbo Boost Technology up to 3.80 GHz),960.0,164.0,21232.0,35,38.51107492295356,87.05784923686173
4,Server_4,Intel Xeon 6787P 2.0 GHz (Intel Turbo Boost Technology up to 3.80 GHz),943.0,157.0,21029.0,35,39.93858228570834,80.85854104306438
5,Server_5,Intel Xeon 6787P Processor 2.0 GHz,891.0,227.0,22312.0,35,39.20607902767646,88.28925617857831
6,Server_6,Intel Xeon 6787P 2.0 GHz (Intel Turbo Boost Technology up to 3.10 GHz),924.0,220.0,22121.0,35,39.3235557506856,89.35269812009749
7,Server_7,Intel Xeon 6787P Processor 2.0 GHz,941.0,205.0,23276.0,35,38.89207468107058,91.92249466062215
8,Server_8,Intel Xeon 6787P Processor 2.0 GHz,833.0,228.0,17085.0,35,39.68875176881741,92.55702465959085
9,Server_9,Intel Xeon 6787P 2.00 GHz,491.0,123.0,20454.0,35,38.679221683390736,104.56233014137155
10,Server_10,Intel Xeon 6787P 2.00 GHz,557.0,195.0,17517.0,35,41.49098167448014,87.40776314403746
11,Server_11,Intel Xeon 6780E 2.2 GHz,581.0,196.0,21837.0,35,35.7121056443892,98.57229706121258
12,Server_12,Intel Xeon 6780E 2.2 GHz,801.0,220.0,19521.0,35,39.50616547640106,88.23970558540834
13,Server_13,Intel Xeon 6787P Processor 2.0 GHz,937.0,255.0,18745.0,35,36.1750106412386,96.2872994635971
14,Server_14,Intel Xeon 6780E 2.2 GHz,807.0,221.0,19190.0,35,34.64798226072535,101.64555477778329
15,Server_15,Intel Xeon 6780E 2.2 GHz,373.0,188.0,14571.0,34,38.352524388104825,96.37436878427486
16,Server_16,Intel Xeon 6780E 2.2 GHz,441.0,114.0,17870.0,34,39.380851853213926,87.76772550555307
17,Server_17,Intel Xeon 6780E 2.2 GHz,656.0,184.0,24301.0,34,39.353345967286195,95.97410637936325
18,Server_18,Intel Xeon 6780E 2.2 GHz,665.0,186.0,24133.0,34,33.24190408083271,106.2795835697024
19,Server_19,Intel Xeon 6780E,657.0,200.0,24246.0,34,37.175855613326526,94.39750951785899
20,Server_20,Intel Xeon 6787P 2.0 GHz,782.0,218.0,25374.0,34,40.96949101557645,82.23539257846056
21,Server_21,AMD EPYC 9845,1557.0,267.0,38805.0,34,37.323160792058616,90.20757042315586
22,Server_22,Intel Xeon Platinum 8490H,4087.0,1200.0,13941.0,34,34.43810284809254,92.18560550487291
23,Server_23,AMD EPYC 9845,1566.0,280.0,39083.0,34,37.38371061189995,93.77541301004797
24,Server_24,Intel Xeon 6787P 2.0 GHz,651.0,173.0,21718.0,34,35.11788015917882,101.23430552664844
25,Server_25,Intel Xeon 6980P 2.00 GHz,587.0,132.0,20102.0,34,38.609779186989755,88.16066002393968
26,Server_26,"Intel Xeon 6980P, 2.00GHz",1260.0,314.0,18316.0,34,39.881596206678125,82.33763747738851
27,Server_27,"Intel(R) Xeon(R) 6787P, 2.00GHz",655.0,115.0,14329.0,34,35.17300553103688,98.35125176977151
28,Server_28,"Intel(R) Xeon(R) 6787P, 2.00GHz",1157.0,214.0,15802.0,34,36.29807776211345,84.44275821848493
29,Server_29,Intel Xeon Platinum 8592+,827.0,160.0,20494.0,34,41.02497075003011,78.01729936864716
